"";"station";"name";"date";"awnd";"pgtm";"prcp";"snow";"snwd";"tavg";"tmax";"tmin";"wdf2";"wdf5";"wsf2";"wsf5";"wt01";"wt02";"wt03";"wt08"
"13";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-24";"20.13";NA;"0.00";"0.0";"0.0";11;-8,33;-13,33;260;270;"32.0";"40.9";NA;NA;NA;NA
"14";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-25";"15.88";NA;"0.00";"0.0";"0.0";20;-1,11;-10;240;240;"23.0";"30.0";NA;NA;NA;NA
"15";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-26";"11.41";NA;"0.00";"0.0";"0.0";24;-0,56;-7,78;270;270;"21.9";"28.0";NA;NA;NA;NA
"16";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-27";"9.40";NA;"0.00";"0.0";"0.0";31;2,22;-2,22;270;260;"14.1";"19.9";NA;NA;NA;NA
"17";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-28";"8.05";NA;"0.00";"0.0";"0.0";38;9,44;-2,22;230;230;"19.9";"25.9";NA;NA;NA;NA
"18";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-29";"6.26";NA;"0.00";"0.0";"0.0";41;11,11;0;230;230;"14.1";"17.0";NA;NA;NA;NA
"19";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-30";"4.47";NA;"0.00";"0.0";"0.0";48;16,67;3,89;210;240;"12.1";"14.1";NA;NA;NA;NA
"20";"USW00014734";"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US";"2022-12-31";"1.79";NA;"0.26";"0.0";"0.0";51;12,22;7,22;240;240;"10.1";"13.0";1;1;NA;1
"21";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-22";"13.42";NA;"0.21";"0.0";"0.0";39;8,33;1,11;60;60;"28.0";"35.1";1;NA;NA;NA
"22";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-23";"24.38";NA;"0.95";"0.0";"0.0";45;15;-12,78;140;270;"38.9";"55.9";1;NA;1;1
"23";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-24";"19.69";NA;"0.00";"0.0";"0.0";11;-8,89;-13,89;260;260;"33.1";"42.1";NA;NA;NA;NA
"24";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-25";"16.55";NA;"0.00";"0.0";"0.0";20;-2,22;-9,44;260;260;"25.1";"34.0";NA;NA;NA;NA
"25";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-26";"11.86";NA;"0.00";"0.0";"0.0";24;-1,11;-7,22;270;270;"21.9";"28.0";NA;NA;NA;NA
"26";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-27";"9.84";NA;"0.00";"0.0";"0.0";31;1,67;-1,67;270;280;"17.0";"23.9";NA;NA;NA;NA
"27";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-28";"7.61";NA;"0.00";"0.0";"0.0";38;8,33;0,56;230;220;"17.0";"23.9";NA;NA;NA;NA
"28";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-29";"7.61";NA;"0.00";"0.0";"0.0";44;10,56;3,33;220;220;"14.1";"16.1";NA;NA;NA;NA
"29";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-30";"5.59";NA;"0.00";"0.0";"0.0";49;15,56;3,33;210;210;"13.0";"17.0";NA;NA;NA;NA
"30";"USW00014732";"LAGUARDIA AIRPORT, NY US";"2022-12-31";"4.70";NA;"0.31";"0.0";"0.0";47;12,78;5,56;220;230;"10.1";"15.0";1;1;NA;1
"31";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"32";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-23";"";NA;"1.88";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"33";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-24";"";NA;"0.15";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"34";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-25";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"35";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-26";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"36";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-27";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"37";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-28";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"38";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-29";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"39";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-30";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"40";"US1NJBG0064";"WOOD RIDGE 0.2 N, NJ US";"2022-12-31";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"41";"USC00308577";"SYOSSET, NY US";"2022-12-22";"";NA;"0.00";"";"";NA;3,89;-3,89;NA;NA;"";"";NA;NA;NA;NA
"42";"USC00308577";"SYOSSET, NY US";"2022-12-23";"";NA;"0.35";"";"";NA;13,89;0,56;NA;NA;"";"";NA;NA;NA;NA
"43";"USC00308577";"SYOSSET, NY US";"2022-12-24";"";NA;"0.15";"";"";NA;9,44;-14,44;NA;NA;"";"";NA;NA;NA;NA
"44";"USC00308577";"SYOSSET, NY US";"2022-12-25";"";NA;"0.00";"";"";NA;-9,44;-14,44;NA;NA;"";"";NA;NA;NA;NA
"45";"USC00308577";"SYOSSET, NY US";"2022-12-26";"";NA;"0.00";"";"";NA;-3,33;-10;NA;NA;"";"";NA;NA;NA;NA
"46";"USC00308577";"SYOSSET, NY US";"2022-12-27";"";NA;"0.00";"";"";NA;-2,22;-8,33;NA;NA;"";"";NA;NA;NA;NA
"47";"USC00308577";"SYOSSET, NY US";"2022-12-28";"";NA;"0.00";"";"";NA;0,56;-3,89;NA;NA;"";"";NA;NA;NA;NA
"48";"USC00308577";"SYOSSET, NY US";"2022-12-29";"";NA;"0.00";"";"";NA;7,22;-1,67;NA;NA;"";"";NA;NA;NA;NA
"49";"USC00308577";"SYOSSET, NY US";"2022-12-30";"";NA;"0.00";"";"";NA;7,22;-1,67;NA;NA;"";"";NA;NA;NA;NA
"50";"USC00308577";"SYOSSET, NY US";"2022-12-31";"";NA;"0.01";"";"";NA;13,89;3,89;NA;NA;"";"";NA;NA;NA;NA
"51";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-22";"7.83";2017;"0.34";"";"";NA;8,89;-3,89;90;80;"23.9";"34.0";NA;NA;NA;NA
"52";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-23";"16.11";1717;"1.38";"";"";NA;14,44;-13,89;150;280;"31.1";"46.1";NA;NA;NA;NA
"53";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-24";"11.41";815;"0.00";"";"";NA;-9,44;-14,44;270;290;"21.9";"31.1";NA;NA;NA;NA
"54";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-25";"8.28";1208;"0.00";"";"";NA;-2,22;-10,56;290;290;"17.0";"25.9";NA;NA;NA;NA
"55";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-26";"6.04";116;"0.00";"";"";NA;-1,67;-8,33;290;310;"13.0";"18.1";NA;NA;NA;NA
"56";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-27";"4.25";1045;"0.00";"";"";NA;1,11;-2,78;290;290;"10.1";"13.0";NA;NA;NA;NA
"57";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-28";"3.36";1330;"0.00";"";"";NA;8,89;-4,44;210;250;"13.0";"17.0";NA;NA;NA;NA
"58";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-29";"2.01";1500;"0.00";"";"";NA;10,56;-2,78;230;240;"8.1";"11.0";NA;NA;NA;NA
"59";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-30";"2.01";1242;"0.00";"";"";NA;17,78;-0,56;190;220;"8.9";"15.0";NA;NA;NA;NA
"60";"USW00054743";"CALDWELL ESSEX CO AIRPORT, NJ US";"2022-12-31";"0.67";2228;"0.32";"";"";NA;10,56;1,67;320;330;"6.0";"6.9";NA;NA;NA;NA
"61";"US1NJBG0060";"MONTVALE 1.8 ESE, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"62";"US1NJBG0060";"MONTVALE 1.8 ESE, NJ US";"2022-12-23";"";NA;"2.10";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"63";"US1NJBG0060";"MONTVALE 1.8 ESE, NJ US";"2022-12-24";"";NA;"0.16";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"64";"US1NJBG0060";"MONTVALE 1.8 ESE, NJ US";"2022-12-25";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"65";"US1NJBG0060";"MONTVALE 1.8 ESE, NJ US";"2022-12-26";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"66";"US1NJBG0060";"MONTVALE 1.8 ESE, NJ US";"2022-12-27";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"67";"US1NJBG0060";"MONTVALE 1.8 ESE, NJ US";"2022-12-29";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"68";"US1NJBG0060";"MONTVALE 1.8 ESE, NJ US";"2022-12-30";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"69";"US1NJBG0060";"MONTVALE 1.8 ESE, NJ US";"2022-12-31";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"70";"US1NJMD0082";"METUCHEN 0.5 E, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"71";"US1NJMD0082";"METUCHEN 0.5 E, NJ US";"2022-12-23";"";NA;"0.96";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"72";"US1NJMD0082";"METUCHEN 0.5 E, NJ US";"2022-12-31";"";NA;"";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"73";"US1NJMD0088";"METUCHEN 3.3 N, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"74";"US1NJMD0088";"METUCHEN 3.3 N, NJ US";"2022-12-23";"";NA;"1.09";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"75";"US1NJMD0088";"METUCHEN 3.3 N, NJ US";"2022-12-31";"";NA;"";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"76";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"77";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-23";"";NA;"1.30";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"78";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-24";"";NA;"0.03";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"79";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-25";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"80";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-26";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"81";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-27";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"82";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-28";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"83";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-29";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"84";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-30";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"85";"US1NJUN0017";"CRANFORD TWP 1.1 NNW, NJ US";"2022-12-31";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"86";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"87";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-23";"";NA;"1.75";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"88";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-24";"";NA;"0.34";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"89";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-25";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"90";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-26";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"91";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-27";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"92";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-28";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"93";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-29";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"94";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-30";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"95";"US1NJPS0040";"POMPTON LAKES 1.0 ENE, NJ US";"2022-12-31";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"96";"USC00301309";"CENTERPORT, NY US";"2022-12-22";"";NA;"0.00";"0.0";"0.0";NA;2,22;-3,89;NA;NA;"";"";NA;NA;NA;NA
"97";"USC00301309";"CENTERPORT, NY US";"2022-12-23";"";NA;"0.46";"0.0";"0.0";NA;13,89;-0,56;NA;NA;"";"";1;NA;NA;NA
"98";"USC00301309";"CENTERPORT, NY US";"2022-12-24";"";NA;"0.12";"0.0";"0.0";NA;11,67;-13,89;NA;NA;"";"";1;NA;NA;NA
"99";"USC00301309";"CENTERPORT, NY US";"2022-12-25";"";NA;"0.00";"0.0";"0.0";NA;-10;-13,89;NA;NA;"";"";NA;NA;NA;NA
"100";"USC00301309";"CENTERPORT, NY US";"2022-12-26";"";NA;"0.00";"0.0";"0.0";NA;-3,33;-10;NA;NA;"";"";NA;NA;NA;NA
"101";"USC00301309";"CENTERPORT, NY US";"2022-12-27";"";NA;"0.00";"0.0";"0.0";NA;-2,22;-7,78;NA;NA;"";"";NA;NA;NA;NA
"102";"USC00301309";"CENTERPORT, NY US";"2022-12-28";"";NA;"0.00";"0.0";"0.0";NA;0;-2,78;NA;NA;"";"";NA;NA;NA;NA
"103";"USC00301309";"CENTERPORT, NY US";"2022-12-29";"";NA;"0.00";"0.0";"0.0";NA;6,67;-2,22;NA;NA;"";"";NA;NA;NA;NA
"104";"USC00301309";"CENTERPORT, NY US";"2022-12-30";"";NA;"0.00";"0.0";"0.0";NA;10;1,11;NA;NA;"";"";NA;NA;NA;NA
"105";"USC00301309";"CENTERPORT, NY US";"2022-12-31";"";NA;"0.00";"0.0";"0.0";NA;14,44;3,89;NA;NA;"";"";1;NA;NA;NA
"106";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"107";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-23";"";NA;"1.17";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"108";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-24";"";NA;"0.12";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"109";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-25";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"110";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-26";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"111";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-27";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"112";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-28";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"113";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-29";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"114";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-30";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"115";"US1NJUN0014";"WESTFIELD 0.6 NE, NJ US";"2022-12-31";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"116";"USC00281335";"CANOE BROOK, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"0.0";NA;4,44;-6,11;NA;NA;"";"";NA;NA;NA;NA
"117";"USC00281335";"CANOE BROOK, NJ US";"2022-12-23";"";NA;"1.56";"0.0";"0.0";NA;13,33;-3,33;NA;NA;"";"";NA;NA;NA;NA
"118";"USC00281335";"CANOE BROOK, NJ US";"2022-12-24";"";NA;"0.17";"0.0";"0.0";NA;10,56;-14,44;NA;NA;"";"";NA;NA;NA;NA
"119";"USC00281335";"CANOE BROOK, NJ US";"2022-12-25";"";NA;"0.00";"0.0";"0.0";NA;-9,44;-14,44;NA;NA;"";"";NA;NA;NA;NA
"120";"USC00281335";"CANOE BROOK, NJ US";"2022-12-26";"";NA;"0.00";"0.0";"0.0";NA;-2,22;-9,44;NA;NA;"";"";NA;NA;NA;NA
"121";"USC00281335";"CANOE BROOK, NJ US";"2022-12-27";"";NA;"0.00";"0.0";"0.0";NA;-1,67;-7,78;NA;NA;"";"";NA;NA;NA;NA
"122";"USC00281335";"CANOE BROOK, NJ US";"2022-12-28";"";NA;"0.00";"0.0";"0.0";NA;1,67;-4,44;NA;NA;"";"";NA;NA;NA;NA
"123";"USC00281335";"CANOE BROOK, NJ US";"2022-12-29";"";NA;"0.00";"0.0";"0.0";NA;8,33;-4,44;NA;NA;"";"";NA;NA;NA;NA
"124";"USC00281335";"CANOE BROOK, NJ US";"2022-12-30";"";NA;"0.00";"0.0";"0.0";NA;10;-3,33;NA;NA;"";"";NA;NA;NA;NA
"125";"USC00281335";"CANOE BROOK, NJ US";"2022-12-31";"";NA;"0.00";"0.0";"0.0";NA;16,67;-0,56;NA;NA;"";"";NA;NA;NA;NA
"126";"US1NYNS0027";"PORT WASHINGTON 0.8 N, NY US";"2022-12-25";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"127";"US1NYNS0027";"PORT WASHINGTON 0.8 N, NY US";"2022-12-27";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"128";"US1NYNS0027";"PORT WASHINGTON 0.8 N, NY US";"2022-12-31";"";NA;"0.01";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"129";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"130";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-23";"";NA;"1.57";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"131";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-24";"";NA;"0.20";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"132";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-25";"";NA;"0.00";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"133";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-26";"";NA;"0.00";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"134";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-27";"";NA;"0.00";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"135";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-28";"";NA;"0.00";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"136";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-29";"";NA;"0.00";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"137";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-30";"";NA;"0.00";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"138";"US1NJUN0010";"NEW PROVIDENCE 0.8 ESE, NJ US";"2022-12-31";"";NA;"0.02";"0.0";"0.0";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"139";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"140";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-23";"";NA;"1.25";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"141";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-24";"";NA;"0.08";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"142";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-25";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"143";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-26";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"144";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-27";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"145";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-28";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"146";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-29";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"147";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-30";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"148";"US1NJMN0104";"LITTLE SILVER 0.3 NNW, NJ US";"2022-12-31";"";NA;"0.00";"";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
"149";"US1NJMD0074";"HIGHLAND PARK 0.5 E, NJ US";"2022-12-22";"";NA;"0.00";"0.0";"";NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA
